JENIS BARANG,KODE,BERAT CAMPURAN,JUMLAH STONE DIPAKAI,JUMLAH PEMESANAN PER 3 BULAN,BIAYA BAHAN BAKU,UKURAN (INCH),BERAT,HARGA
SILVER BRACELETS,BSER 125-S,0,12,20,56.682,8,69,94.47
SILVER BRACELETS,BSFK 816-S,0,16,15,52.146,7.5,60,86.91
SILVER BRACELETS,BSFK 816-S,0,16,14,52.146,7.5,59,86.91
SILVER BRACELETS,BSFK 816-S,0,16,14,54.45,8,64,90.75
SILVER BRACELETS,BSFK 816-S,0,16,19,54.45,8,64,90.75
SILVER BRACELETS,BSTR 682,0,0,7,30.528,7.5,318,50.88
SILVER BRACELETS,BSTR 682,0,0,4,31.296,8,326,52.16
SILVER BRACELETS,BSTR 682,0,0,12,33.408,8.5,116,55.68
SILVER BRACELETS,BCBP 682,0,0,10,33.294,7.5,289,55.49
SILVER BRACELETS,BCBP 682,0,0,9,34.992,8,243,58.32
SILVER BRACELETS,BCBP 682,0,0,6,37.44,8.5,195,62.4
SILVER BRACELETS,BSTR 468-G,0.8,0,14,60.696,7.5,38,101.16
SILVER BRACELETS,BTOV 561,0,0,18,24.768,7.5,43,41.28
SILVER BRACELETS,BLKL 115,0,0,8,28.008,8,32,46.68
SILVER BRACELETS,BLKL 750,0,0,16,20.88,7.5,20,34.8
SILVER BRACELETS,BLKL 750,0,0,16,21.474,8,21,35.79
SILVER BRACELETS,BSER 117,0,0,11,42.048,7.5,219,70.08
SILVER BRACELETS,BSER 117,0,0,6,43.776,8,228,72.96
SILVER BRACELETS,BCST 775,0,0,12,19.122,7,166,31.87
SILVER BRACELETS,BCST 775,0,0,3,20.622,7.5,179,34.37
SILVER BRACELETS,BCST 775-G,0.8,0,20,58.968,7,35,98.28
SILVER BRACELETS,BCST 775-G,0.8,0,1,60.12,7.5,37,100.2
SILVER BRACELETS,BSOK 45,0,0,20,15.168,7,79,25.28
SILVER BRACELETS,BSOK 45,0,0,7,16.128,7.5,28,26.88
SILVER BRACELETS,BSBP 646,0,0,3,20.16,7,35,33.6
SILVER BRACELETS,BSBP 646,0,0,1,20.736,7.5,36,34.56
SILVER BRACELETS,BTP 124,0,0,7,74.592,8,259,124.32
SILVER BRACELETS,BTP 124,0,0,4,77.76,8.5,270,129.6
SILVER BRACELETS,BTP 124,0,0,15,83.52,9,145,139.2
SILVER BRACELETS,NSFB 614,0,0,17,276.48,26,480,460.8
SILVER BRACELETS,BCBD 725,0,0,18,34.56,8.5,60,57.6
SILVER BRACELETS,BCBD 725,0,0,8,36.288,9,63,60.48
SILVER BRACELETS,BAKL 123,0,0,15,27.072,7,47,45.12
SILVER BRACELETS,BAKL 123,0,0,18,28.8,7.5,150,48
SILVER BRACELETS,BSAN 1845,0,0,6,56.448,8,98,94.08
SILVER BRACELETS,BSAN 1845,0,0,13,59.904,8.5,104,99.84
SILVER BRACELETS,BTP 124,0,0,19,81.792,9,142,136.32
SILVER BRACELETS,BCHK 1040,0,0,18,61.056,8,106,101.76
SILVER BRACELETS,BCHK 1041,0,0,4,67.968,9,118,113.28
SILVER BRACELETS,BSTR 397,0,0,18,45.504,9,79,75.84
SILVER BRACELETS,BSTR 097-S,0,46,9,61.314,8,135,102.19
SILVER BRACELETS,BSTR 097-S,0,46,10,67.074,9,155,111.79
SILVER BRACELETS,BSKN 68,0,0,5,37.728,9,131,62.88
SILVER BRACELETS,BSOK 46,0,0,13,19.344,7,638,32.24
SILVER BRACELETS,BSOK 46,0,0,9,20.82,7.5,723,34.7
SILVER BRACELETS,BSOK 46,0,0,2,21.948,8,762,36.58
SILVER BRACELETS,BSOK 46,0,0,16,22.464,8.25,78,37.44
SILVER BRACELETS,BSOK 46,0,0,17,23.388,8.5,406,38.98
SILVER NECKLECES,NSKL 761,0,0,3,55.872,16,194,93.12
SILVER NECKLECES,NSKL 761,0,0,17,63.36,18,220,105.6
SILVER NECKLECES,NSKL 761,0,0,13,69.696,20,242,116.16
SILVER NECKLECES,NSOK46,0,0,15,49.248,18,171,82.08
SILVER BRACELETS,BCKS 48,0,0,2,25.632,8,89,42.72
SILVER BRACELETS,BCTG 117,0,0,4,59.904,9.25,104,99.84
SILVER BRACELETS,BCVJ 93,0,0,14,18.168,7,367,30.28
SILVER BRACELETS,BCVJ 93,0,0,18,19.38,7.5,261,32.3
SILVER BRACELETS,BSTR 750,0,0,10,28.11,7.5,488,46.85
SILVER BRACELETS,BSTR 750,0,0,5,29.49,8,512,49.15
SILVER BRACELETS,BSTR 750,0,0,2,31.488,8.5,328,52.48
SILVER BRACELETS,BSTR 750,0,0,7,33.504,9,349,55.84
SILVER NECKLECES,NSRK 501,0,0,16,43.2,18,375,72
SILVER NECKLECES,NSRK 501,0,0,14,48.384,20,420,80.64
SILVER NECKLECES,NSRK 501,0,0,7,50.496,22,263,84.16
SILVER NECKLECES,NSRK 401,0,0,4,27.168,18,283,45.28
SILVER NECKLECES,NSRK 401,0,0,18,30.624,20,319,51.04
SILVER NECKLECES,NSRK 401,0,0,11,32.16,22,335,53.6
SILVER BRACELETS,BSOK 46-GP,0,0,9,24.024,7.5,292,40.04
SILVER BRACELETS,BSOK 46-GP,0,0,14,25.032,8,306,41.72
SILVER BRACELETS,BSOK 46-GP,0,0,17,26.616,8.5,328,44.36
SILVER BRACELETS,BSTR 750-GP,0,0,4,30.792,7.5,386,51.32
SILVER BRACELETS,BSTR 750-GP,0,0,1,33.168,8,419,55.28
SILVER BRACELETS,BSTR 750-GP,0,0,1,34.968,8.5,444,58.28
SILVER BRACELETS,BSTR 750-GP,0,0,16,36.84,9,470,61.4
SILVER BRACELETS,BSTR 550,0,0,16,30.24,8,105,50.4
SILVER BRACELETS,BSTR 550,0,0,20,31.968,8.5,111,53.28
SILVER BRACELETS,BSTR 550,0,0,9,33.696,9,117,56.16
SILVER BRACELETS,BSTR 097,0,0,3,38.016,8,132,63.36
SILVER BRACELETS,BSTR 097,0,0,7,40.32,8.5,140,67.2
SILVER BRACELETS,BSTR 577,0,0,1,33.696,8.5,117,56.16
SILVER BRACELETS,BSTR 468-S,0,12,16,37.386,7,71,62.31
SILVER BRACELETS,BSTR 468-S,0,12,15,37.386,7,71,62.31
SILVER BRACELETS,BSTR 468-S,0,12,3,38.484,7.5,374,64.14
SILVER BRACELETS,BSTR 468-S,0,12,1,38.484,7.5,187,64.14
SILVER BRACELETS,BTP 128,0,0,11,71.424,8.5,124,119.04
SILVER BRACELETS,BSFB 614,0,0,16,86.976,8,151,144.96
SILVER BRACELETS,BSFB 590,0,0,9,41.472,7,72,69.12
SILVER BRACELETS,BSFB 590,0,0,19,43.776,7.5,76,72.96
SILVER BRACELETS,BSFB 074,0,0,16,31.68,7,55,52.8
SILVER BRACELETS,BSFB 074,0,0,2,33.696,7.5,117,56.16
SILVER BRACELETS,BSFB 074,0,0,2,35.136,8,122,58.56
SILVER BRACELETS,BSBP 540,0,0,7,25.056,7,87,41.76
SILVER BRACELETS,BSTR 075-G,2.5,0,4,75.414,7.5,50,125.69
SILVER BRACELETS,NSTR 468-S,0,12,16,70.506,19,93,117.51
SILVER BRACELETS,NSRB 401,0,0,15,50.112,30,87,83.52
SILVER BRACELETS,BSRK 560,0,0,7,24.192,7,42,40.32
SILVER BRACELETS,BSRK 560,0,0,13,24.192,7,84,40.32
SILVER BRACELETS,BSRK 560,0,0,3,25.848,7.5,359,43.08
SILVER BRACELETS,BSRK 560,0,0,14,26.784,8,93,44.64
SILVER BRACELETS,BBSB 1612-G,2.5,0,13,120.6,8,64,201
SILVER BRACELETS,BSTR 570,0,0,14,17.166,7,298,28.61
SILVER BRACELETS,BSTR 570,0,0,2,18.33,7.5,350,30.55
SILVER BRACELETS,BSTR 570,0,0,11,19.584,8,102,32.64
SILVER BRACELETS,BSTR 571,0,0,8,20.322,7,247,33.87
SILVER BRACELETS,BSTR 571,0,0,11,21.54,7.5,187,35.9
SILVER BRACELETS,BSBP 5711,0,0,20,25.92,7,135,43.2
SILVER BRACELETS,BSBP 5711,0,0,17,27.42,7.5,238,45.7
SILVER BRACELETS,BSBP 5711,0,0,8,29.088,8,101,48.48
SILVER BRACELETS,BSBP 955,0,0,6,40.896,8,284,68.16
SILVER BRACELETS,BSBP 955,0,0,20,42.336,8,294,70.56
SILVER BRACELETS,BSBP 955,0,0,16,45.792,8.5,159,76.32
SILVER BRACELETS,BSAN 5155,0,0,1,43.92,7.5,305,73.2
SILVER BRACELETS,BSAN 5155,0,0,2,46.224,8,321,77.04
SILVER BRACELETS,BSAN 5155,0,0,8,48.96,8.5,170,81.6
SILVER BRACELETS,BSOK 46,0,0,10,18.522,7,804,30.87
SILVER BRACELETS,BSOK 46,0,0,18,19.56,7.5,917,32.6
SILVER BRACELETS,BSOK 46,0,0,15,21.624,8,901,36.04
SILVER BRACELETS,BSOK 46,0,0,2,23.616,8.5,287,39.36
SILVER BRACELETS,BSTR 750,0,0,7,30.336,7.5,158,50.56
SILVER BRACELETS,BSTR 750,0,0,13,32.64,8,170,54.4
SILVER BRACELETS,BSTR 750,0,0,10,34.368,8.5,179,57.28
SILVER BRACELETS,BSTR 750,0,0,9,36.096,9,188,60.16
SILVER BRACELETS,BSTR 577,0,0,12,30.942,7.5,376,51.57
SILVER BRACELETS,BSTR 577,0,0,8,33.18,8,288,55.3
SILVER BRACELETS,BSTR 577,0,0,7,35.328,8.5,184,58.88
SILVER BRACELETS,BSTR 577,0,0,14,36.864,9,192,61.44
SILVER NECKLECES,NSRK 501,0,0,6,39.168,17,68,65.28
SILVER NECKLECES,NSRK 501,0,0,7,41.472,18,360,69.12
SILVER NECKLECES,NSRK 501,0,0,2,45.216,20,314,75.36
SILVER NECKLECES,NSRK 501,0,0,13,50.496,22,263,84.16
SILVER BRACELETS,BSTR 468-S,0,12,7,37.386,7,71,62.31
SILVER BRACELETS,BSTR 468-S,0,12,10,38.826,7.5,76,64.71
SILVER BRACELETS,BCTR 738-S,0,42,13,48.858,7,94,81.43
SILVER BRACELETS,BCTR 738-S,0,42,3,50.586,7.5,100,84.31
SILVER BRACELETS,BTRG 165-S,0,18,15,59.958,7,73,99.93
SILVER BRACELETS,BSTR 097-S,0,46,19,58.146,7,62,96.91
SILVER NECKLECES,NSOK 03,0,0,5,80.64,20,140,134.4
SILVER BRACELETS,BCTP 115,0,0,8,85.824,8.5,149,143.04
SILVER BRACELETS,BTP 124,0,0,16,80.928,8,281,134.88
SILVER BRACELETS,BTP 124,0,0,5,86.016,8.5,448,143.36
SILVER BRACELETS,BFTN 127,0,0,9,65.664,8.5,114,109.44
SILVER BRACELETS,BSER 1016,0,0,1,82.368,9,143,137.28
SILVER BRACELETS,BCKS 106,0,0,19,43.2,8,150,72
SILVER BRACELETS,BSTR 179,0,0,19,34.56,7.5,60,57.6
SILVER BRACELETS,BSTR 179,0,0,5,36.864,8,128,61.44
SILVER BRACELETS,BCTR 800,0,0,9,43.008,8,224,71.68
SILVER BRACELETS,BCTR 800,0,0,6,46.656,8.5,81,77.76
SILVER BRACELETS,BFTN 115,0,0,7,54.372,8,472,90.62
SILVER BRACELETS,BFTN 115,0,0,9,58.752,8.5,204,97.92
SILVER BRACELETS,BSTR 711,0,0,12,56.736,8,197,94.56
SILVER BRACELETS,BFTR 150,0,0,11,73.728,8,128,122.88
SILVER BRACELETS,BFTR 150,0,0,13,77.184,8.5,402,128.64
SILVER BRACELETS,BSFK 850,0,0,12,33.696,7.5,117,56.16
SILVER BRACELETS,BSFB 074,0,0,15,33.792,8,176,56.32
SILVER BRACELETS,BSTR 815-S,0,15,14,48.24,7.5,107,80.4
SILVER BRACELETS,BSTR 977,0,0,2,38.976,8,203,64.96
SILVER BRACELETS,BTP 128,0,0,12,78.912,9,137,131.52
SILVER BRACELETS,BCHK 1040,0,0,13,61.632,8,321,102.72
SILVER BRACELETS,BCHK 1040,0,0,5,66.816,8.5,116,111.36
SILVER BRACELETS,BCRK 775,0,0,3,27.936,7.5,97,46.56
SILVER BRACELETS,BTP 108,0,0,9,74.304,8.5,387,123.84
SILVER BRACELETS,BTP 154-S,0,5,13,111.546,9,161,185.91
SILVER BRACELETS,BSTR 550,0,0,18,40.032,8.5,139,66.72
SILVER NECKLECES,NTRP 501,0,0,13,43.008,20,224,71.68
SILVER BRACELETS,BSRK 560,0,0,7,27.36,8.5,95,45.6
SILVER BRACELETS,BCBD 725,0,0,4,33.552,8,233,55.92
SILVER BRACELETS,BTOV 561,0,0,17,22.944,7,239,38.24
SILVER BRACELETS,BTOV 561,0,0,6,24.522,7.5,298,40.87
SILVER BRACELETS,BSBP 646,0,0,14,19.512,7,271,32.52
SILVER BRACELETS,BSBP 646,0,0,20,20.808,7.5,289,34.68
SILVER BRACELETS,BSFK 816,0,0,20,33.984,7.5,177,56.64
SILVER BRACELETS,BSFK 816,0,0,19,36.72,8,255,61.2
SILVER BRACELETS,BCTR 738-SL,0,0,14,28.224,7,196,47.04
SILVER BRACELETS,BCTR 738-SL,0,0,7,29.952,7.5,208,49.92
SILVER BRACELETS,BS 04-S,0,1,14,45.996,7.5,90,76.66
SILVER BRACELETS,BS 04-S,0,1,19,45.996,7.5,89,76.66
SILVER BRACELETS,BS 04-S,0,1,1,45.996,7.5,46,76.66
SILVER BRACELETS,BSBP 600,0,0,3,23.472,7,163,39.12
SILVER BRACELETS,BSBP 600,0,0,3,25.056,7.5,174,41.76
SILVER BRACELETS,BSER 1016,0,0,11,71.808,8,374,119.68
SILVER BRACELETS,BSER 1016,0,0,15,75.804,8.5,658,126.34
SILVER BRACELETS,BSER 1016,0,0,6,79.488,9,138,132.48
SILVER BRACELETS,BAKL 123,0,0,18,28.128,7,293,46.88
SILVER BRACELETS,BAKL 123,0,0,12,29.952,7.5,156,49.92
SILVER BRACELETS,BAKL 123,0,0,16,31.104,8,108,51.84
SILVER BRACELETS,BSBP 708,0,0,7,44.928,8,78,74.88
SILVER BRACELETS,BSBP 708,0,0,7,47.808,8.5,83,79.68
SILVER BRACELETS,BTP 128,0,0,4,69.696,8,121,116.16
SILVER BRACELETS,BTP 128,0,0,5,77.76,8.5,135,129.6
SILVER BRACELETS,BTP 128,0,0,15,82.368,9,143,137.28
SILVER BRACELETS,BCBD 725,0,0,10,32.832,8,171,54.72
SILVER BRACELETS,BCBD 725,0,0,8,33.984,8.5,177,56.64
SILVER BRACELETS,BSFB 074,0,0,17,31.104,7,108,51.84
SILVER BRACELETS,BSFB 074,0,0,16,32.64,7.5,170,54.4
SILVER BRACELETS,BSFB 074,0,0,5,34.176,8,178,56.96
SILVER BRACELETS,BSFB 074,0,0,4,36.288,8.5,63,60.48
SILVER BRACELETS,BCKS 167,0,0,1,122.112,9,212,203.52
SILVER BRACELETS,BCHK 1040,0,0,6,63.36,8,110,105.6
SILVER BRACELETS,BCHK 1040,0,0,14,65.088,8.5,113,108.48
SILVER BRACELETS,BSFB 614,0,0,15,92.16,8.5,160,153.6
SILVER BRACELETS,BSFB 614,0,0,17,96.192,9,167,160.32
SILVER BRACELETS,BTP 124,0,0,19,73.728,8,128,122.88
SILVER BRACELETS,BTP 124,0,0,13,76.416,8.5,398,127.36
SILVER BRACELETS,BTP 124,0,0,6,80.64,9,140,134.4
SILVER BRACELETS,BTP 124,0,0,8,86.4,9.5,150,144
SILVER BRACELETS,BSTR 379,0,0,7,47.808,8.5,83,79.68
SILVER BRACELETS,BCBP 900,0,0,1,56.448,8.5,98,94.08
SILVER BRACELETS,BFTN 125,0,0,13,58.752,8,102,97.92
SILVER BRACELETS,BFTN 125,0,0,14,62.208,8.5,108,103.68
SILVER BRACELETS,BSBP 540,0,0,16,25.92,7,90,43.2
SILVER BRACELETS,BSBP 540,0,0,4,27.936,7.5,97,46.56
SILVER BRACELETS,BSOK 46,0,0,2,17.712,7,123,29.52
SILVER BRACELETS,BSOK 46,0,0,10,18.24,7.5,95,30.4
SILVER BRACELETS,BSRK 560,0,0,20,22.464,7,78,37.44
SILVER BRACELETS,BSRK 560,0,0,16,24.192,7.5,42,40.32
SILVER BRACELETS,BTOV 552,0,0,17,39.168,7.5,68,65.28
SILVER BRACELETS,BTOV 561,0,0,10,23.04,7,80,38.4
SILVER BRACELETS,BTOV 561,0,0,10,24.768,7.5,43,41.28
SILVER BRACELETS,BTOV 561,0,0,18,26.496,8,46,44.16
SILVER BRACELETS,BCTR BOO,0,0,16,38.016,7,132,63.36
SILVER BRACELETS,BCTR 800,0,0,14,40.608,7.5,282,67.68
SILVER BRACELETS,BCTR 800,0,0,6,43.2,8,150,72
SILVER BRACELETS,BSTR 750,0,0,11,30.912,8,161,51.52
SILVER BRACELETS,BSTR 750,0,0,12,33.12,8.5,115,55.2
SILVER BRACELETS,BSKL 761,0,0,11,27.708,7,481,46.18
SILVER BRACELETS,BSKL 761,0,0,5,31.68,8,550,52.8
SILVER BRACELETS,BFTR 150,0,0,15,87.264,10,303,145.44
SILVER BRACELETS,NSOK 03,0,0,7,74.304,18,129,123.84
SILVER BRACELETS,BSTR 835-S,0,35,13,55.218,8,60,92.03
SILVER BRACELETS,BCSS 800,0,0,19,42.048,7.5,73,70.08
SILVER NECKLECES,NS 04-S,0,1,9,89.16,17,85,148.6
SILVER NECKLECES,NS 04-S,0,1,4,74.76,17,166,124.6
SILVER BRACELETS,BS 04-S,0,1,5,66.696,7.5,46,111.16
SILVER BRACELETS,BS 04-S,0,1,20,52.296,7.5,90,87.16
SILVER BRACELETS,BCBP 461,0,0,14,16.128,7,168,26.88
SILVER BRACELETS,BCBP 461,0,0,12,17.118,7.5,208,28.53
SILVER BRACELETS,BSFK 816,0,0,4,36.144,7.5,251,60.24
SILVER BRACELETS,BSFK 816,0,0,19,38.208,8,199,63.68
SILVER BRACELETS,BSFK 816,0,0,7,40.32,8.5,210,67.2
SILVER BRACELETS,BSTR 815-S,0,15,6,42.966,7.5,133,71.61
SILVER BRACELETS,BSTR 815-S,0,15,15,44.214,8,93,73.69
SILVER BRACELETS,BCTR 738-SL,0,0,14,28.32,7,295,47.2
SILVER BRACELETS,BCTR 738-SL,0,0,8,29.664,7.5,309,49.44
SILVER BRACELETS,BSTR 682,0,0,12,28.512,7,99,47.52
SILVER BRACELETS,BSTR 682,0,0,17,30.198,7.5,367,50.33
SILVER BRACELETS,BSTR 682,0,0,3,31.68,8,220,52.8
SILVER BRACELETS,BSTR 681,0,0,20,28.224,7,98,47.04
SILVER BRACELETS,BSTR 681,0,0,13,29.76,7.5,310,49.6
SILVER BRACELETS,BSTR 681,0,0,4,31.488,8,164,52.48
SILVER BRACELETS,BSBP 5711,0,0,11,26.382,7,229,43.97
SILVER BRACELETS,BSBP 5711,0,0,10,27.996,7.5,243,46.66
SILVER BRACELETS,BSTR 683,0,0,7,10.176,7,53,16.96
SILVER BRACELETS,BSTR 683,0,0,14,31.104,7.5,270,51.84
SILVER BRACELETS,BSTR 683,0,0,19,32.544,8,113,54.24
SILVER BRACELETS,BSTR 684,0,0,10,29.952,7,104,49.92
SILVER BRACELETS,BSTR 684,0,0,7,31.908,7.5,277,53.18
SILVER BRACELETS,BSTR 684,0,0,19,33.792,8,176,56.32
SILVER BRACELETS,BSTR 463,0,0,11,18.918,7,427,31.53
SILVER BRACELETS,BSTR 463,0,0,14,20.49,7.5,498,34.15
SILVER BRACELETS,BCBP 682,0,0,8,27.936,7,97,46.56
SILVER BRACELETS,BCBP 682,0,0,16,29.76,7.5,310,49.6
SILVER BRACELETS,BCBP 682,0,0,11,31.872,8,166,53.12
SILVER BRACELETS,BSTR 571,0,0,4,19.44,7,270,32.4
SILVER BRACELETS,BSTR 571,0,0,13,20.79,7.5,397,34.65
SILVER BRACELETS,BSTR 572,0,0,1,19.998,7,243,33.33
SILVER BRACELETS,BSTR 572,0,0,18,21.15,7.5,257,35.25
SILVER BRACELETS,BSTN 1445-S,0,12,7,59.562,7.5,222,99.27
SILVER BRACELETS,BSTN 1445-S,0,12,7,62.256,8,236,103.76
SILVER BRACELETS,BSFB 955,0,0,12,41.28,7.5,215,68.8
SILVER BRACELETS,BSFB 955,0,0,8,44.496,7.5,309,74.16
SILVER BRACELETS,BSFB 955,0,0,8,46.656,8.5,162,77.76
SILVER BRACELETS,BSFB 614,0,0,12,86.976,8,151,144.96
SILVER BRACELETS,BCBD 725,0,0,8,39.744,9.5,69,66.24
SILVER BRACELETS,BCBP 701,0,0,5,38.976,7.5,203,64.96
SILVER BRACELETS,BCBP 702,0,0,4,41.616,8,289,69.36
SILVER BRACELETS,BCBP 703,0,0,3,43.776,8.5,228,72.96
SILVER BRACELETS,BCHK 1041,0,0,6,63.936,8,555,106.56
SILVER BRACELETS,BCHK 1042,0,0,10,68.256,8.5,474,113.76
SILVER BRACELETS,BCHK 1043,0,0,10,71.712,9,498,119.52
SILVER BRACELETS,BFTN 115,0,0,11,50.304,7.5,262,83.84
SILVER BRACELETS,BFTN 115,0,0,17,53.952,8,281,89.92
SILVER BRACELETS,BFTN 115,0,0,19,57.792,8.5,301,96.32
SILVER BRACELETS,BSER 117,0,0,19,42.624,7.5,148,71.04
SILVER BRACELETS,BSER 117,0,0,14,44.928,8,234,74.88
SILVER BRACELETS,BSER 117,0,0,1,46.848,8.5,244,78.08
SILVER BRACELETS,BSER 125,0,0,3,34.56,7,180,57.6
SILVER BRACELETS,BSER 125,0,0,10,36.96,7.5,385,61.6
SILVER BRACELETS,BSTR 711,0,0,10,56.064,8,292,93.44
SILVER BRACELETS,BSTR 711,0,0,15,59.79,8.5,519,99.65
SILVER BRACELETS,BSTR 711,0,0,2,63.072,9,438,105.12
SILVER BRACELETS,BTOV 561,0,0,12,23.298,7,364,38.83
SILVER BRACELETS,BTOV 561,0,0,19,24.912,7.5,519,41.52
SILVER BRACELETS,BTOV 561,0,0,16,26.784,8,93,44.64
SILVER BRACELETS,BSOK 57,0,0,1,23.844,7,207,39.74
SILVER BRACELETS,BSOK 57,0,0,7,25.056,7.5,435,41.76
SILVER BRACELETS,BSOK 57,0,0,17,26.64,8,185,44.4
SILVER BRACELETS,BSHK 743,0,0,4,41.472,7.5,144,69.12
SILVER BRACELETS,BSHK 743,0,0,5,43.488,8,302,72.48
SILVER BRACELETS,BSHK 743,0,0,6,46.656,8.5,162,77.76
SILVER BRACELETS,BTP 124,0,0,7,75.456,8,262,125.76
SILVER BRACELETS,BTP 124,0,0,14,80.064,8.5,417,133.44
SILVER BRACELETS,BTP 124,0,0,8,84.672,9,441,141.12
SILVER BRACELETS,BCPL 210,0,0,14,35.04,7.5,365,58.4
SILVER BRACELETS,BCPL 210,0,0,17,37.152,8,258,61.92
SILVER BRACELETS,BCPL 210,0,0,7,38.88,8.5,270,64.8
SILVER BRACELETS,BCST 775,0,0,11,20.352,7.5,106,33.92
SILVER BRACELETS,BCST 775,0,0,7,21.888,8,228,36.48
SILVER BRACELETS,BCST 775,0,0,9,23.232,5,121,38.72
SILVER BRACELETS,BSTR 711-G,0.9,0,8,108.84,8,99,181.4
SILVER BRACELETS,BSTR 711-G,0.9,0,19,111.144,8.5,206,185.24
SILVER BRACELETS,BSTR 577-G,1,0,1,76.278,7,103,127.13
SILVER BRACELETS,BSTR 577-G,1,0,15,78.042,7.5,109,130.07
SILVER BRACELETS,BSFB 614-G,2.2,0,18,169.116,8.5,163,281.86
SILVER BRACELETS,BSFB 614-G,2.2,0,8,174.876,9,173,291.46
SILVER BRACELETS,BCST 775-G,0.8,0,20,59.832,7,73,99.72
SILVER BRACELETS,BCST 775-G,0.8,0,16,59.688,7.5,145,99.48
SILVER NECKLECES,NSRK 501,0,0,10,42.048,18,219,70.08
SILVER NECKLECES,NSRK 501,0,0,10,47.808,20,83,79.68
SILVER NECKLECES,NSRK 501,0,0,16,52.416,22,91,87.36
SILVER BRACELETS,BSTR 379,0,0,14,49.728,8,259,82.88
SILVER BRACELETS,BSTR 379,0,0,11,52.704,8.5,366,87.84
SILVER BRACELETS,BSTR 379,0,0,9,55.728,9,387,92.88
SILVER BRACELETS,BFTR 150,0,0,8,74.304,8.5,258,123.84
SILVER BRACELETS,BFTR 150,0,0,4,78.912,9,137,131.52
SILVER BRACELETS,BCHK 1040,0,0,9,67.968,8.75,236,113.28
SILVER NECKLECES,NSTR 468-S,0,12,15,63.594,16,81,105.99
SILVER NECKLECES,NSTR 468-S,0,12,14,63.594,16,81,105.99
SILVER NECKLECES,NSTR 468-S,0,12,6,69.354,18,273,115.59
SILVER BRACELETS,BSTR 835-S,0,35,6,53.202,7.5,113,88.67
SILVER BRACELETS,BSTR 835-S,0,35,8,53.202,7.5,112,88.67
SILVER BRACELETS,BTP 154-S,0,5,5,95.88,8,135,159.8
SILVER BRACELETS,BTP 154-S,0,5,16,100.488,8.5,286,167.48
SILVER BRACELETS,BSER 1216-S,0,6,17,91.428,8,131,152.38
SILVER BRACELETS,BSER 1216-S,0,6,14,94.884,8.5,137,158.14
SILVER NECKLECES,NSTR 815-S,0,15,15,87.696,18,122,146.16
SILVER NECKLECES,NSTR 815-S,0,15,6,87.696,18,122,146.16
SILVER NECKLECES,NSTR 815-S,0,15,1,96.912,20,137,161.52
SILVER NECKLECES,NSTR 815-S,0,15,5,96.912,20,138,161.52
SILVER BRACELETS,BSTR 4681-G,0.8,0,11,59.256,7,71,98.76
SILVER BRACELETS,BCBP 809-S,0,9,14,44.682,7.5,49,74.47
SILVER BRACELETS,BSRK 572-32S,0,32,20,49.782,7.5,47,82.97
SILVER BRACELETS,BSRK 572-32S,0,32,19,46.32,7.5,41,77.2
SILVER BRACELETS,BSRK 573-42S,0,32,19,51.192,7.5,48,85.32
SILVER BRACELETS,BSFK816-S,0,16,2,51.57,7.5,57,85.95
SILVER BRACELETS,BSER 125-S,0,12,6,53.226,7.5,63,88.71
SILVER BRACELETS,BS 915-S,0,15,3,32.658,7,24,54.43
SILVER BRACELETS,BS 915,0,0,12,13.8,7,23,23
SILVER BRACELETS,BSBP 540,0,0,1,27.648,7.5,48,46.08
SILVER BRACELETS,BDKM 775,0,0,2,31.68,7.5,55,52.8
SILVER BRACELETS,BOKM 075,0,0,7,42.048,8,73,70.08
SILVER BRACELETS,BSKM 851,0,0,18,49.536,7.5,86,82.56
SILVER BRACELETS,BSTL 107,0,0,4,44.16,8,460,73.6
SILVER BRACELETS,BSTL 107,0,0,14,46.944,8.5,489,78.24
SILVER BRACELETS,BSTL 107,0,0,1,49.536,9,86,82.56
SILVER BRACELETS,BCHK 1040,0,0,14,62.592,8,326,104.32
SILVER BRACELETS,BCHK 1040,0,0,14,67.776,8.5,353,112.96
SILVER BRACELETS,BCHK 1040,0,0,2,78.912,10,137,131.52
SILVER BRACELETS,BSTR 46,0,0,19,15.072,7,314,25.12
SILVER BRACELETS,BSTR 46,0,0,12,16.368,7.5,341,27.28
SILVER BRACELETS,BSTR 46,0,0,14,17.568,8,366,29.28
SILVER BRACELETS,BFTR 145,0,0,1,60.48,8,315,100.8
SILVER BRACELETS,BFTR 145,0,0,4,63.456,8.5,661,105.76
SILVER BRACELETS,BFTR 145,0,0,18,67.008,9,349,111.68
SILVER BRACELETS,BSOK 45,0,0,9,17.808,7,371,29.68
SILVER BRACELETS,BSOK 45,0,0,2,18.96,7.5,395,31.6
SILVER BRACELETS,BLKL 750,0,0,6,20.91,7.5,246,34.85
SILVER BRACELETS,BLKL 750,0,0,19,22.08,8,255,36.8
SILVER BRACELETS,BLKL 750,0,0,4,22.674,8.5,257,37.79
SILVER BRACELETS,BLKL 115,0,0,8,30.99,8,370,51.65
SILVER BRACELETS,BLKL 115,0,0,10,32.772,8.5,377,54.62
SILVER BRACELETS,BSOK 86-BR,0,1,18,34.848,8,363,58.08
SILVER BRACELETS,BSOK 86-BR,0,1,4,36.288,8.5,378,60.48
SILVER BRACELETS,BSED 1151,0,0,17,38.208,8,398,63.68
